Date,qsif Hybrid Long-Short Fund,Altiva Hybrid LongShort Fund ,qsif Equity Long Short Fund ,qsif Equity ExTop 100 LongShort Fund,iSIF Hybrid LongShort Fund ,iSIF Equity ExTop 100 LongShort Fund ,Titanium Hybrid LongShort Fund ,Magnum Hybrid Long Short Fund,Arudha Equity LongShort Fund,Arudha Hybrid LongShort Fund,Diviniti Equity Long Short Fund,DynaSIF Active Asset Allocator LongShort Fund,DynaSIF Equity Long Short Fund,Nifty 50,Sensex
05-01-2026,9.9789,10.2824,10.135,9.9449,,,10.1036,10.2521,,,1007.5914,,,25471.09961,82626.75781
02-01-2026,9.9984,10.2723,10.1665,9.9717,,,10.0987,10.2222,,,1007.3952,,,25682.75,83277.14844
01-01-2026,10.025,10.2574,10.1084,9.8976,,,10.0643,10.2069,,,1004.7905,,,25725.40039,83450.96094
31-12-2025,9.9811,10.2602,10.0599,9.8634,,,10.0668,10.1771,,,1003.5044,,,25819.34961,83734.25
30-12-2025,9.9842,10.2599,10.016,9.7951,,,10.0297,10.1857,,,1000.9537,,,25454.34961,82498.14063
29-12-2025,9.965,10.2542,10.0197,9.795,,,10.0279,10.1998,,,1000.9747,,,25571.25,82814.71094
26-12-2025,10.0015,10.2529,10.066,9.8478,,,10.032,10.2045,,,1002.2094,,,25713,83294.65625
24-12-2025,9.9757,10.2493,10.0964,9.8618,,,10.034,10.2012,,,1003.5902,,,25424.65039,82225.92188
23-12-2025,10.0004,10.2335,10.1181,9.901,,,10.0403,10.1967,,,1003.8238,,,25482.5,82276.07031
22-12-2025,10.0039,10.2218,10.1217,9.8764,,,10.0332,10.1696,,,1004.3506,,,25496.55078,82248.60938
19-12-2025,9.9898,10.2049,10.0802,9.8723,,,10.0212,10.1239,,,1002.0941,,,25178.65039,81287.1875
18-12-2025,9.986,10.2089,10.0226,9.8097,,,10.0013,10.1121,,,1000.3331,,,24865.69922,80238.85156
17-12-2025,9.9214,10.188,10.0067,9.8238,,,10.0029,10.1186,,,1000.1837,,,24480.5,79116.1875
16-12-2025,9.9146,10.1675,10.0404,9.8709,,,,10.1564,,,1000.6526,,,24765.90039,80015.89844
15-12-2025,9.9436,10.1648,10.1041,9.9261,,,,10.1639,,,1002.4957,,,24450.44922,78918.89844
12-12-2025,9.984,10.1108,10.1168,9.9476,,,,10.133,,,1002.4842,,,24028.05078,77566.15625
11-12-2025,9.9808,10.1075,10.0834,9.887,,,,10.1122,,,1000.5175,,,24261.59961,78205.97656
10-12-2025,9.9613,10.128,10.0134,9.8779,,,,10.1058,,,999.1685,,,23866.84961,76863.71094
09-12-2025,9.9464,10.1194,10.0361,9.8804,,,,10.1103,,,999.7664,,,23639.15039,76034.42188
08-12-2025,9.9647,10.1084,10.0834,9.8561,,,,10.1495,,,1000.6632,,,23151.09961,74563.92188
05-12-2025,9.9423,10.1167,10.1491,9.9143,,,,10.1212,,,1003.7033,,,23408.80078,75502.85156
04-12-2025,9.9907,10.1104,10.1247,9.918,,,,10.1087,,,1001.344,,,23581.15039,76070.84375
03-12-2025,10.0029,10.1093,10.0855,9.9214,,,,10.1235,,,1000.953,,,23777.80078,76704.13281
02-12-2025,9.9884,10.107,10.1029,9.9609,,,,10.1285,,,,,,23002.15039,74207.24219
01-12-2025,10.0173,10.1094,10.1014,9.9648,,,,10.1175,,,,,,23114.5,74532.96094
28-11-2025,10.0025,10.0832,10.1182,10.0123,,,,10.1169,,,,,,22512.65039,72696.39063
27-11-2025,10.0054,10.094,10.1349,9.9153,,,,10.1237,,,,,,22912.40039,74068.45313
26-11-2025,10.0522,10.0932,10.1659,9.9434,,,,10.1244,,,,,,23306.44922,75273.45313
24-11-2025,10.071,10.091,10.1428,9.8898,,,,10.0726,,,,,,22819.59961,73583.21875
21-11-2025,10.0192,10.0756,10.1213,9.9236,,,,10.0691,,,,,,22331.40039,71947.54688
20-11-2025,10.0357,10.0703,10.1495,9.9765,,,,10.0903,,,,,,22679.40039,73134.32031
19-11-2025,10.0367,10.0636,10.1568,9.9945,,,,10.0839,,,,,,22713.09961,73319.54688
18-11-2025,10.0844,10.0774,10.1116,10.0173,,,,10.0496,,,,,,22968.25,74106.85156
17-11-2025,10.0932,10.0798,10.15,10.032,,,,10.0628,,,,,,23123.65039,74616.57813
14-11-2025,9.9998,10.0605,10.1259,10.0045,,,,10.0441,,,,,,23997.34961,77562.89844
13-11-2025,10.0417,10.0519,10.1537,10.0111,,,,10.0336,,,,,,23775.09961,76631.64844
12-11-2025,10.0206,10.0448,10.1558,,,,,10.0273,,,,,,24050.59961,77550.25
11-11-2025,10.0636,10.049,10.1249,,,,,10.0093,,,,,,23842.65039,76847.57031
10-11-2025,10.0363,10.0258,10.1232,,,,,9.996,,,,,,24231.30078,78111.24219
07-11-2025,10.0159,10.0296,10.1111,,,,,9.9895,,,,,,24196.75,77988.67969
